arm,heavy0_true_hz,hz_reported,pub_cpu_s,sub_cpu_s,intra_cpu_s,watcher_cpu_s,intra0_recv_intra_hz,intra0_pub_windows
hz,50.000,49.999,1.008,1.268,0.337,0.534,100.000,0
echo,50.000,nan,1.133,1.434,0.327,2.523,100.000,0
intra,50.000,99.997,1.051,1.320,0.460,0.633,100.000,4
none,50.000,nan,1.121,1.418,0.319,0.000,100.000,0
echo,50.000,nan,1.096,1.375,0.318,2.543,100.000,0
intra,50.000,99.997,1.127,1.415,0.480,0.679,100.000,4
none,50.000,nan,1.175,1.472,0.267,0.000,100.000,0
hz,50.000,49.860,1.194,1.516,0.346,0.554,100.000,0
intra,50.000,99.998,1.114,1.415,0.453,0.644,100.000,4
none,50.000,nan,1.173,1.490,0.268,0.000,100.000,0
hz,50.000,49.860,1.226,1.574,0.331,0.578,100.000,0
echo,50.000,nan,1.178,1.484,0.290,2.506,100.000,0
none,50.000,nan,1.109,1.409,0.329,0.000,99.999,0
hz,50.000,50.001,1.173,1.449,0.326,0.571,100.000,0
echo,50.000,nan,1.133,1.431,0.334,2.501,100.000,0
intra,50.000,99.996,1.093,1.376,0.465,0.649,100.000,4
hz,50.000,49.859,1.209,1.516,0.339,0.581,100.000,0
echo,50.000,nan,1.195,1.481,0.337,2.496,100.000,0
intra,50.000,100.001,1.174,1.504,0.467,0.660,100.000,4
none,50.000,nan,1.268,1.626,0.291,0.000,100.000,0
echo,50.000,nan,1.157,1.458,0.280,2.491,100.000,0
intra,50.000,99.997,1.194,1.521,0.476,0.671,100.001,4
none,50.000,nan,1.136,1.444,0.330,0.000,100.000,0
hz,50.000,49.856,1.161,1.456,0.261,0.558,100.000,0
intra,50.000,99.994,1.137,1.423,0.449,0.642,100.000,4
none,50.000,nan,1.170,1.519,0.345,0.000,99.876,0
hz,50.000,50.002,1.224,1.516,0.358,0.579,100.000,0
echo,50.000,nan,1.151,1.454,0.354,2.525,100.000,0
none,50.000,nan,1.158,1.450,0.321,0.000,100.000,0
hz,50.000,49.439,1.169,1.458,0.361,0.564,100.000,0
echo,50.000,nan,1.026,1.293,0.312,2.490,100.000,0
intra,50.000,99.995,1.089,1.363,0.444,0.651,100.000,4
hz,50.000,49.719,1.198,1.503,0.330,0.577,99.999,0
echo,50.000,nan,1.140,1.418,0.317,2.500,100.000,0
intra,50.000,99.998,1.122,1.430,0.463,0.663,100.000,4
none,50.000,nan,1.109,1.365,0.305,0.000,100.000,0
echo,50.000,nan,1.120,1.444,0.314,2.466,100.000,0
intra,50.000,99.997,1.064,1.322,0.444,0.650,100.000,4
none,50.000,nan,1.098,1.406,0.252,0.000,100.000,0
hz,50.001,49.858,1.148,1.413,0.300,0.559,99.999,0
